,GunName,GunType,Operators,OperatorType,Damage,FireRate
72,P226 MK 25,Pistol,"Sledge, Thatcher, Kali, Smoke, Mute, Tubarao, Denari","Attacker, Defender",50,500
73,M45 MEUSOC,Pistol,"Ash, Thermite, Castle, Pulse","Attacker, Defender",58,500
74,P9,Pistol,"Twitch, Montagne, Lion, Ace, Doc, Rook","Attacker, Defender",45,500
75,LFP586,Revolver,"Twitch, Montagne, Lion, Doc, Rook, Kaid","Attacker, Defender",78,500
76,PMM,Pistol,"Glaz, Fuze, Finka, Osa, Kapkan, Tachanka","Attacker, Defender",61,500
77,P12,Pistol,"Blitz, IQ, Jager, Blitz, Wamai","Attacker, Defender",44,500
78,MK1 9mm,Pistol,"Buck, Iana, Ram, Frost","Attacker, Defender",48,500
79,D-50,Pistol (Deagle),"Nokk, Valkyrie, Azami","Attacker, Defender",71,500
80,PRB92,Pistol,"Capitao, Nomad, Aruni","Attacker, Defender",42,500
81,P229,Pistol,"Hibana, Grim, Echo, Goyo, Skopos","Attacker, Defender",51,500
82,USP40,Pistol,"Jackal, Brava, Mira, Oryx","Attacker, Defender",48,500
83,Q-929,Pistol,"Ying, Leison, Thunderbird","Attacker, Defender",60,500
84,RG15,Pistol (Scoped),"Zofia, Ela, Melusi","Attacker, Defender",38,500
85,GSH-18,Pistol,"Fuze, Finka, Flores, Rauora, Kapkan, Tachanka","Attacker, Defender",44,500
86,1911 TACOPS,Pistol,"Maverick, Thorn","Attacker, Defender",55,500
87,.44 Mag Semi-Auto,Pistol (Magnified Scope),"Nomad, Kaid","Attacker, Defender",54,500
88,SDP 9mm,Pistol,"Gridlock, Sens, Mozzie","Attacker, Defender",47,500
89,.44 Vendetta,Revolver (Scoped),Deimos,Attacker,78,500
90,LUISON,Pistol,Caveira,Defender,65,450
91,KERATOS .357,Revolver,"Bandit, Maestro, Alibi, Wamai",Defender,78,500
92,P-10C,Pistol (Scoped),"Jager, Clash, Warden",Defender,40,500
93,Glaive-12,Slug Shotgun,Denari,Defender,67,500
